,Nombre_cancion,Nombre_artista,Genero,Anio,Pulsos por minuto,Energia,Bailabilidad,Sonoridad,Liveness,Valence,Duracion(ms),Acousticness,Speechiness,Popularidad
66,Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,80
67,Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,136,62,88,-6,11,64,157,5,10,80
68,I'm Yours,Jason Mraz,acoustic pop,2008,151,46,69,-8,11,72,242,60,5,80
69,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,80
70,New Rules,Dua Lipa,dance pop,2017,116,70,76,-6,15,61,209,0,7,79
71,Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,79
72,Don't Let Me Down,The Chainsmokers,dance pop,2016,160,87,53,-5,14,42,208,16,17,79
73,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,79
74,I Like It,Cardi B,dance pop,2018,136,73,82,-4,37,65,253,10,13,79
75,I Fall Apart,Post Malone,dfw rap,2016,144,54,56,-5,20,29,223,7,4,79
76,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,100,56,73,-8,18,35,218,62,13,79
77,Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,108,77,71,-6,11,58,214,11,4,79
78,Despacito,Luis Fonsi,latin,2019,178,80,66,-5,7,84,229,20,15,78
79,Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,140,56,75,-8,11,46,221,55,11,78
80,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,75,207,2,7,77
81,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,8,79,206,59,10,77
82,Wonderwall - Remastered,Oasis,beatlesque,1995,174,90,38,-4,19,47,259,0,4,77
83,Radioactive,Imagine Dragons,modern rock,2012,136,78,45,-4,67,24,187,11,6,76
84,Eastside (with Halsey & Khalid),benny blanco,electropop,2018,89,68,56,-8,12,32,174,56,32,76
85,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,dance pop,2015,118,69,78,-6,16,60,181,17,3,76
86,Cheap Thrills,Sia,australian dance,2016,90,70,63,-6,9,73,212,5,11,75
87,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,2018,125,54,85,-7,13,45,236,57,5,74
88,Faded,Alan Walker,electro house,2015,90,65,59,-5,11,17,213,3,3,72
89,Let Her Go,Passenger,folk-pop,2013,76,54,45,-7,11,22,253,36,7,72
90,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,10,70,238,1,7,72
91,Lean On,Major Lazer,dance pop,2015,98,81,72,-3,56,27,177,0,6,71
92,Despacito - Remix,Luis Fonsi,latin,2019,178,80,65,-4,7,86,230,23,18,70
93,Lose Yourself,Eminem,detroit hip hop,2014,171,74,69,-5,37,6,321,1,27,70
94,Without Me (with Juice WRLD),Halsey,dance pop,2019,136,51,74,-6,18,45,229,36,7,67
95,One Dance,Drake,canadian hip hop,2016,104,61,79,-6,32,43,174,1,6,66
96,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,66
97,Emotions,Mark Mendy,pop dance,2021,126,83,66,-5,40,74,172,5,29,66
98,Cold Water,Major Lazer,dance pop,2018,93,80,61,-5,16,50,185,7,4,56
99,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,73,67,-7,9,66,198,3,10,53
100,Lose Yourself,Eminem,detroit hip hop,2011,171,74,69,-5,37,6,321,1,27,70
101,Without Me (with Juice WRLD),Halsey,dance pop,2010,136,51,74,-6,18,45,229,36,7,67
102,One Dance,Drake,canadian hip hop,2009,104,61,79,-6,32,43,174,1,6,66
103,Sugar,Maroon 5,pop,2007,120,79,75,-7,9,88,235,6,3,66
104,Emotions,Mark Mendy,pop dance,2006,126,83,66,-5,40,74,172,5,29,66
105,Cold Water,Major Lazer,dance pop,2005,93,80,61,-5,16,50,185,7,4,56
106,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,1999,102,73,67,-7,9,66,198,3,10,53
